Property	   | Type	|Optional|Description
extensionAttribute1|String|TRUE|First customizable extension attribute.
extensionAttribute2|String|TRUE|Second customizable extension attribute.
extensionAttribute3|String|TRUE|Third customizable extension attribute.
extensionAttribute4|String|TRUE|Fourth customizable extension attribute.
extensionAttribute5|String|TRUE|Fifth customizable extension attribute.
extensionAttribute6|String|TRUE|Sixth customizable extension attribute.
extensionAttribute7|String|TRUE|Seventh customizable extension attribute.
extensionAttribute8|String|TRUE|Eighth customizable extension attribute.
extensionAttribute9|String|TRUE|Ninth customizable extension attribute.
extensionAttribute10|String|TRUE|Tenth customizable extension attribute.
extensionAttribute11|String|TRUE|Eleventh customizable extension attribute.
extensionAttribute12|String|TRUE|Twelfth customizable extension attribute.
extensionAttribute13|String|TRUE|Thirteenth customizable extension attribute.
extensionAttribute14|String|TRUE|Fourteenth customizable extension attribute.
extensionAttribute15|String|TRUE|Fifteenth customizable extension attribute.
